('fs-ham-0012780', '1.1.90', 'can'),
('fs-ham-0012870', '1.1.91', 'can'),
('fs-ham-0035960', '1.2.44', 'cannot'),
('fs-ham-0042600', '1.2.86', 'can'),
('fs-ham-0055300', '1.2.163', 'cannot'),
('fs-ham-0083750', '1.3.76', 'can'),
('fs-ham-0085350', '1.3.86', 'canst'),
('fs-ham-0099280', '1.4.29', 'cannot'),
('fs-ham-0105930', '1.4.74', 'can'),
('fs-ham-0112850', '1.5.20', 'could'),
('fs-ham-0136860', '1.5.183', 'Canst'),
('fs-ham-0139190', '1.5.196', 'could'),
('fs-ham-0163860', '2.2.10', 'cannot'),
('fs-ham-0197000', '2.2.222', 'could'),
('fs-ham-0198080', '2.2.229', 'could'),
('fs-ham-0198750', '2.2.233', 'cannot'),
('fs-ham-0204510', '2.2.273', 'could'),
('fs-ham-0206400', '2.2.284', 'cannot'),
('fs-ham-0210440', '2.2.310', 'can'),
('fs-ham-0220790', '2.2.370', 'can'),
('fs-ham-0224080', '2.2.391', 'could'),
('fs-ham-0229060', '2.2.424', 'cannot'),
('fs-ham-0251230', '2.2.563', 'Can'),
('fs-ham-0251600', '2.2.566', 'could'),
('fs-ham-0252050', '2.2.569', 'could'),
('fs-ham-0253690', '2.2.580', 'Could'),
('fs-ham-0256200', '2.2.596', 'can'),
('fs-ham-0257690', '2.2.603', 'cannot'),
('fs-ham-0262770', '3.1.1', 'can'),
('fs-ham-0279990', '3.1.119', 'Could'),
('fs-ham-0280670', '3.1.123', 'can'),
('fs-ham-0281500', '3.1.128', 'cannot'),
('fs-ham-0282370', '3.1.133', 'could'),
('fs-ham-0299670', '3.2.28', 'cannot'),
('fs-ham-0306040', '3.2.68', 'could'),
('fs-ham-0311620', '3.2.100', 'cannot'),
('fs-ham-0321150', '3.2.163', 'cannot'),
('fs-ham-0338270', '3.2.270', 'could'),
('fs-ham-0338450', '3.2.271', 'could'),
('fs-ham-0348470', '3.2.347', 'cannot'),
('fs-ham-0348890', '3.2.350', 'can'),
('fs-ham-0349750', '3.2.356', 'can'),
('fs-ham-0351750', '3.2.369', 'can'),
('fs-ham-0353890', '3.2.382', 'cannot'),
('fs-ham-0354060', '3.2.384', 'cannot'),
('fs-ham-0355090', '3.2.391', 'cannot'),
('fs-ham-0356580', '3.2.399', 'cannot'),
('fs-ham-0357140', '3.2.401', 'can'),
('fs-ham-0357220', '3.2.402', 'cannot'),
('fs-ham-0359850', '3.2.422', 'could'),
('fs-ham-0368060', '3.3.42', 'can'),
('fs-ham-0370240', '3.3.56', 'Can'),
('fs-ham-0370450', '3.3.57', 'cannot'),
('fs-ham-0372480', '3.3.69', 'can'),
('fs-ham-0372530', '3.3.69', 'can'),
('fs-ham-0372630', '3.3.70', 'can'),
('fs-ham-0381780', '3.4.22', 'can'),
('fs-ham-0390280', '3.4.76', 'Could'),
('fs-ham-0390670', '3.4.78', 'cannot'),
('fs-ham-0391400', '3.4.82', 'could'),
('fs-ham-0392830', '3.4.91', 'Could'),
('fs-ham-0393130', '3.4.93', 'canst'),
('fs-ham-0407290', '3.4.189', 'can'),
('fs-ham-0425280', '4.2.11', 'can'),
('fs-ham-0431090', '4.3.14', 'cannot'),
('fs-ham-0451140', '4.4.66', 'cannot'),
('fs-ham-0461630', '4.5.74', 'cannot'),
('fs-ham-0471200', '4.5.139', 'can'),
('fs-ham-0478660', '4.5.193', 'could'),
('fs-ham-0495450', '4.7.18', 'could'),
('fs-ham-0498160', '4.7.34', 'can'),
('fs-ham-0501810', '4.7.59', 'Can'),
('fs-ham-0504790', '4.7.78', 'could'),
('fs-ham-0507280', '4.7.95', 'can'),
('fs-ham-0509680', '4.7.113', 'could'),
('fs-ham-0510370', '4.7.118', 'could'),
('fs-ham-0517400', '4.7.165', 'can'),
('fs-ham-0523150', '4.7.205', 'could'),
('fs-ham-0526500', '5.1.6', 'can'),
('fs-ham-0526960', '5.1.9', 'cannot'),
('fs-ham-0531560', '5.1.38', 'Could'),
('fs-ham-0534110', '5.1.54', 'can'),
('fs-ham-0534260', '5.1.56', 'cannot'),
('fs-ham-0537710', '5.1.77', 'could'),
('fs-ham-0538770', '5.1.84', 'could'),
('fs-ham-0549620', '5.1.151', 'Cannot'),
('fs-ham-0549750', '5.1.151', 'can'),
('fs-ham-0570000', '5.1.286', 'Could'),
('fs-ham-0580010', '5.2.34', 'could'),
('fs-ham-0591980', '5.2.114', 'cannot'),
('fs-ham-0601410', '5.2.172', 'could'),
('fs-ham-0604530', '5.2.189', 'can'),
('fs-ham-0630180', '5.2.345', 'can'),
('fs-ham-0631070', '5.2.351', 'can'),
('fs-ham-0634130', '5.2.369', 'could'),
('fs-ham-0637160', '5.2.391', 'cannot'),
('fs-ham-0642780', '5.2.427', 'can'),
