('fs-ham-0004400', '1.1.34', 'may'),
('fs-ham-0009150', '1.1.66', 'might'),
('fs-ham-0012390', '1.1.88', 'might'),
('fs-ham-0017650', '1.1.121', 'may'),
('fs-ham-0021150', '1.1.143', 'may'),
('fs-ham-0021610', '1.1.146', 'may'),
('fs-ham-0042890', '1.2.87', 'might'),
('fs-ham-0052270', '1.2.145', 'might'),
('fs-ham-0061350', '1.2.202', 'may'),
('fs-ham-0068530', '1.2.255', 'might'),
('fs-ham-0075330', '1.3.22', 'may'),
('fs-ham-0076650', '1.3.31', 'May'),
('fs-ham-0077110', '1.3.33', 'may'),
('fs-ham-0083190', '1.3.73', 'may'),
('fs-ham-0090750', '1.3.121', 'may'),
('fs-ham-0093000', '1.3.134', 'may'),
('fs-ham-0093070', '1.3.135', 'may'),
('fs-ham-0100560', '1.4.37', 'may'),
('fs-ham-0103300', '1.4.56', 'may'),
('fs-ham-0107000', '1.4.81', 'might'),
('fs-ham-0115290', '1.5.37', 'May'),
('fs-ham-0127380', '1.5.115', 'may'),
('fs-ham-0127660', '1.5.116', 'may'),
('fs-ham-0133310', '1.5.156', 'may'),
('fs-ham-0139520', '1.5.199', 'might'),
('fs-ham-0140640', '1.5.207', 'May'),
('fs-ham-0144880', '2.1.19', 'may'),
('fs-ham-0145540', '2.1.23', 'may'),
('fs-ham-0146400', '2.1.29', 'may'),
('fs-ham-0146730', '2.1.31', 'may'),
('fs-ham-0147350', '2.1.36', 'may'),
('fs-ham-0161950', '2.1.131', 'might'),
('fs-ham-0164990', '2.2.16', 'may'),
('fs-ham-0166620', '2.2.28', 'Might'),
('fs-ham-0174950', '2.2.82', 'might'),
('fs-ham-0184170', '2.2.140', 'might'),
('fs-ham-0184760', '2.2.143', 'might'),
('fs-ham-0185490', '2.2.148', 'might'),
('fs-ham-0187860', '2.2.162', 'may'),
('fs-ham-0189100', '2.2.172', 'may'),
('fs-ham-0193620', '2.2.202', 'may'),
('fs-ham-0236330', '2.2.467', 'might'),
('fs-ham-0261270', '2.2.628', 'May'),
('fs-ham-0267630', '3.1.33', 'may'),
('fs-ham-0268020', '3.1.37', 'may'),
('fs-ham-0269520', '3.1.47', 'may'),
('fs-ham-0270110', '3.1.51', 'may'),
('fs-ham-0273750', '3.1.74', 'may'),
('fs-ham-0275090', '3.1.83', 'might'),
('fs-ham-0284230', '3.1.143', 'may'),
('fs-ham-0295880', '3.2.6', 'may'),
('fs-ham-0296160', '3.2.8', 'may'),
('fs-ham-0304910', '3.2.60', 'may'),
('fs-ham-0305720', '3.2.66', 'may'),
('fs-ham-0317000', '3.2.140', 'may'),
('fs-ham-0324020', '3.2.182', 'may'),
('fs-ham-0343840', '3.2.311', 'might'),
('fs-ham-0362420', '3.3.5', 'may'),
('fs-ham-0370950', '3.3.60', 'May'),
('fs-ham-0371310', '3.3.62', 'may'),
('fs-ham-0373650', '3.3.76', 'may'),
('fs-ham-0373820', '3.3.77', 'might'),
('fs-ham-0377400', '3.3.98', 'may'),
('fs-ham-0377560', '3.3.99', 'may'),
('fs-ham-0382290', '3.4.25', 'may'),
('fs-ham-0423290', '4.1.44', 'may'),
('fs-ham-0424900', '4.2.7', 'may'),
('fs-ham-0433330', '4.3.30', 'may'),
('fs-ham-0434050', '4.3.34', 'may'),
('fs-ham-0438950', '4.3.68', 'may'),
('fs-ham-0439460', '4.3.71', 'mayst'),
('fs-ham-0453970', '4.5.15', 'might'),
('fs-ham-0454330', '4.5.18', 'may'),
('fs-ham-0458260', '4.5.49', 'may'),
('fs-ham-0480270', '4.5.206', 'may'),
('fs-ham-0492390', '4.6.33', 'may'),
('fs-ham-0494340', '4.7.12', 'may'),
('fs-ham-0495730', '4.7.19', 'might'),
('fs-ham-0497320', '4.7.29', 'may'),
('fs-ham-0504900', '4.7.79', 'might'),
('fs-ham-0516160', '4.7.156', 'may'),
('fs-ham-0517910', '4.7.168', 'may'),
('fs-ham-0518230', '4.7.171', 'May'),
('fs-ham-0518890', '4.7.175', 'might'),
('fs-ham-0520280', '4.7.185', 'may'),
('fs-ham-0533440', '5.1.50', 'may'),
('fs-ham-0538150', '5.1.80', 'might'),
('fs-ham-0538490', '5.1.82', 'might'),
('fs-ham-0538580', '5.1.83', 'might'),
('fs-ham-0539030', '5.1.86', 'might'),
('fs-ham-0539360', '5.1.88', 'might'),
('fs-ham-0541290', '5.1.100', 'may'),
('fs-ham-0542400', '5.1.105', 'might'),
('fs-ham-0558510', '5.1.209', 'may'),
('fs-ham-0558600', '5.1.210', 'may'),
('fs-ham-0560080', '5.1.219', 'might'),
('fs-ham-0560370', '5.1.221', 'Might'),
('fs-ham-0564840', '5.1.250', 'May'),
('fs-ham-0573710', '5.1.310', 'may'),
('fs-ham-0581790', '5.2.45', 'might'),
('fs-ham-0601610', '5.2.173', 'might'),
('fs-ham-0614520', '5.2.245', 'might'),
