('fs-ham-0037660', '1.2.56', 'must'),
('fs-ham-0040970', '1.2.74', 'must'),
('fs-ham-0043640', '1.2.93', 'must'),
('fs-ham-0044930', '1.2.102', 'must'),
('fs-ham-0046270', '1.2.110', 'must'),
('fs-ham-0052570', '1.2.147', 'Must'),
('fs-ham-0055520', '1.2.164', 'must'),
('fs-ham-0074920', '1.3.19', 'must'),
('fs-ham-0075840', '1.3.25', 'must'),
('fs-ham-0085180', '1.3.85', 'must'),
('fs-ham-0087980', '1.3.104', 'must'),
('fs-ham-0092120', '1.3.129', 'must'),
('fs-ham-0111030', '1.5.7', 'Must'),
('fs-ham-0113880', '1.5.27', 'must'),
('fs-ham-0146870', '2.1.32', 'must'),
('fs-ham-0161780', '2.1.131', 'must'),
('fs-ham-0184540', '2.2.142', 'must'),
('fs-ham-0186060', '2.2.151', 'must'),
('fs-ham-0209740', '2.2.306', 'must'),
('fs-ham-0225130', '2.2.397', 'must'),
('fs-ham-0259030', '2.2.614', 'Must'),
('fs-ham-0273950', '3.1.76', 'Must'),
('fs-ham-0294280', '3.1.203', 'must'),
('fs-ham-0296030', '3.2.7', 'must'),
('fs-ham-0299910', '3.2.29', 'must'),
('fs-ham-0310580', '3.2.96', 'must'),
('fs-ham-0317260', '3.2.141', 'must'),
('fs-ham-0325000', '3.2.187', 'must'),
('fs-ham-0326360', '3.2.195', 'must'),
('fs-ham-0327250', '3.2.201', 'must'),
('fs-ham-0342230', '3.2.299', 'must'),
('fs-ham-0342320', '3.2.299', 'must'),
('fs-ham-0404950', '3.4.175', 'must'),
('fs-ham-0408540', '3.4.196', 'must'),
('fs-ham-0409040', '3.4.199', 'must'),
('fs-ham-0412830', '3.4.222', 'must'),
('fs-ham-0413590', '3.4.227', 'must'),
('fs-ham-0416310', '4.1.2', 'must'),
('fs-ham-0421140', '4.1.32', 'must'),
('fs-ham-0427800', '4.2.25', 'must'),
('fs-ham-0429440', '4.3.3', 'must'),
('fs-ham-0430440', '4.3.8', 'must'),
('fs-ham-0436000', '4.3.46', 'must'),
('fs-ham-0440200', '4.3.76', 'must'),
('fs-ham-0461530', '4.5.73', 'must'),
('fs-ham-0478770', '4.5.194', 'must'),
('fs-ham-0480460', '4.5.206', 'must'),
('fs-ham-0483200', '4.5.226', 'must'),
('fs-ham-0485760', '4.5.242', 'must'),
('fs-ham-0492760', '4.7.1', 'must'),
('fs-ham-0492920', '4.7.2', 'must'),
('fs-ham-0497880', '4.7.32', 'must'),
('fs-ham-0526850', '5.1.9', 'must'),
('fs-ham-0544050', '5.1.114', 'must'),
('fs-ham-0548030', '5.1.140', 'must'),
('fs-ham-0557440', '5.1.201', 'must'),
('fs-ham-0563990', '5.1.243', 'Must'),
('fs-ham-0586670', '5.2.81', 'must'),
('fs-ham-0600790', '5.2.168', 'must'),
('fs-ham-0614180', '5.2.243', 'must'),
