('fs-ham-0022480', '1.1.153', 'Shall'),
('fs-ham-0027710', '1.1.187', 'shall'),
('fs-ham-0028230', '1.1.190', 'shall'),
('fs-ham-0036300', '1.2.47', 'shall'),
('fs-ham-0045220', '1.2.104', 'should'),
('fs-ham-0048610', '1.2.124', 'shall'),
('fs-ham-0049680', '1.2.130', 'shall'),
('fs-ham-0049840', '1.2.131', 'shall'),
('fs-ham-0051590', '1.2.141', 'should'),
('fs-ham-0057560', '1.2.178', 'shall'),
('fs-ham-0060500', '1.2.196', 'shall'),
('fs-ham-0069720', '1.2.266', 'should'),
('fs-ham-0070320', '1.2.270', 'shall'),
('fs-ham-0079440', '1.3.49', 'shall'),
('fs-ham-0086460', '1.3.93', 'shall'),
('fs-ham-0089470', '1.3.113', 'should'),
('fs-ham-0094750', '1.3.145', 'shall'),
('fs-ham-0100600', '1.4.38', 'Shall'),
('fs-ham-0104250', '1.4.62', 'should'),
('fs-ham-0105540', '1.4.72', 'should'),
('fs-ham-0108030', '1.4.88', 'shall'),
('fs-ham-0108390', '1.4.90', 'shall'),
('fs-ham-0111420', '1.5.10', 'shall'),
('fs-ham-0111760', '1.5.12', 'shalt'),
('fs-ham-0115520', '1.5.39', 'shouldst'),
('fs-ham-0124990', '1.5.100', 'shall'),
('fs-ham-0126590', '1.5.109', 'shall'),
('fs-ham-0131410', '1.5.144', 'shall'),
('fs-ham-0138360', '1.5.191', 'shall'),
('fs-ham-0138710', '1.5.193', 'shall'),
('fs-ham-0140890', '1.5.208', 'shall'),
('fs-ham-0142280', '2.1.3', 'shall'),
('fs-ham-0147920', '2.1.41', 'should'),
('fs-ham-0153010', '2.1.75', 'Shall'),
('fs-ham-0153700', '2.1.80', 'shall'),
('fs-ham-0163470', '2.2.7', 'should'),
('fs-ham-0166390', '2.2.25', 'shall'),
('fs-ham-0170710', '2.2.55', 'shall'),
('fs-ham-0171860', '2.2.61', 'shall'),
('fs-ham-0176610', '2.2.94', 'should'),
('fs-ham-0180920', '2.2.120', 'shall'),
('fs-ham-0186290', '2.2.152', 'should'),
('fs-ham-0196760', '2.2.221', 'shall'),
('fs-ham-0206170', '2.2.284', 'Shall'),
('fs-ham-0208680', '2.2.299', 'should'),
('fs-ham-0211550', '2.2.316', 'shall'),
('fs-ham-0215700', '2.2.340', 'shall'),
('fs-ham-0216190', '2.2.343', 'shall'),
('fs-ham-0216280', '2.2.344', 'shall'),
('fs-ham-0216440', '2.2.345', 'shall'),
('fs-ham-0216610', '2.2.345', 'shall'),
('fs-ham-0216750', '2.2.346', 'shall'),
('fs-ham-0216910', '2.2.347', 'shall'),
('fs-ham-0217180', '2.2.349', 'shall'),
('fs-ham-0217370', '2.2.349', 'shall'),
('fs-ham-0220980', '2.2.371', 'should'),
('fs-ham-0225220', '2.2.397', 'should'),
('fs-ham-0244800', '2.2.524', 'shall'),
('fs-ham-0250100', '2.2.556', 'shall'),
('fs-ham-0254780', '2.2.587', 'should'),
('fs-ham-0257580', '2.2.603', 'should'),
('fs-ham-0258010', '2.2.606', 'should'),
('fs-ham-0267030', '3.1.30', 'shall'),
('fs-ham-0268620', '3.1.41', 'shall'),
('fs-ham-0269090', '3.1.44', 'shall'),
('fs-ham-0279840', '3.1.118', 'should'),
('fs-ham-0281360', '3.1.127', 'should'),
('fs-ham-0281660', '3.1.128', 'shall'),
('fs-ham-0283350', '3.1.138', 'should'),
('fs-ham-0285090', '3.1.148', 'shalt'),
('fs-ham-0287390', '3.1.161', 'shall'),
('fs-ham-0287480', '3.1.161', 'shall'),
('fs-ham-0291120', '3.1.183', 'shall'),
('fs-ham-0291550', '3.1.186', 'shall'),
('fs-ham-0292070', '3.1.190', 'shall'),
('fs-ham-0294070', '3.1.201', 'shall'),
('fs-ham-0294140', '3.1.202', 'shall'),
('fs-ham-0305280', '3.2.62', 'should'),
('fs-ham-0314230', '3.2.119', 'shall'),
('fs-ham-0315660', '3.2.132', 'should'),
('fs-ham-0317390', '3.2.142', 'shall'),
('fs-ham-0321010', '3.2.162', 'shall'),
('fs-ham-0326720', '3.2.197', 'shall'),
('fs-ham-0327050', '3.2.199', 'shalt'),
('fs-ham-0330770', '3.2.224', 'should'),
('fs-ham-0331770', '3.2.230', 'shall'),
('fs-ham-0334550', '3.2.247', 'should'),
('fs-ham-0337120', '3.2.264', 'shall'),
('fs-ham-0340980', '3.2.289', 'shall'),
('fs-ham-0346140', '3.2.331', 'should'),
('fs-ham-0347830', '3.2.343', 'shall'),
('fs-ham-0348270', '3.2.346', 'shall'),
('fs-ham-0348950', '3.2.351', 'shall'),
('fs-ham-0350420', '3.2.361', 'shall'),
('fs-ham-0362240', '3.3.4', 'shall'),
('fs-ham-0366950', '3.3.35', 'should'),
('fs-ham-0368690', '3.3.46', 'shall'),
('fs-ham-0382000', '3.4.23', 'shall'),
('fs-ham-0385650', '3.4.43', 'shall'),
('fs-ham-0406950', '3.4.187', 'shall'),
('fs-ham-0409470', '3.4.202', 'shall'),
('fs-ham-0414130', '3.4.230', 'shall'),
('fs-ham-0414760', '3.4.234', 'shall'),
('fs-ham-0418650', '4.1.17', 'shall'),
('fs-ham-0418930', '4.1.19', 'Should'),
('fs-ham-0420850', '4.1.30', 'shall'),
('fs-ham-0425630', '4.2.13', 'should'),
('fs-ham-0427230', '4.2.21', 'shall'),
('fs-ham-0434980', '4.3.40', 'shall'),
('fs-ham-0441550', '4.4.6', 'shall'),
('fs-ham-0444240', '4.4.23', 'should'),
('fs-ham-0455610', '4.5.28', 'should'),
('fs-ham-0461950', '4.5.75', 'shall'),
('fs-ham-0468070', '4.5.116', 'shall'),
('fs-ham-0468350', '4.5.118', 'shall'),
('fs-ham-0473250', '4.5.155', 'shall'),
('fs-ham-0473650', '4.5.158', 'shall'),
('fs-ham-0475600', '4.5.174', 'shall'),
('fs-ham-0476660', '4.5.180', 'shall'),
('fs-ham-0477280', '4.5.184', 'Should'),
('fs-ham-0483690', '4.5.229', 'shall'),
('fs-ham-0484760', '4.5.235', 'shall'),
('fs-ham-0485910', '4.5.243', 'shall'),
('fs-ham-0487170', '4.6.5', 'should'),
('fs-ham-0487610', '4.6.9', 'shall'),
('fs-ham-0488580', '4.6.13', 'shalt'),
('fs-ham-0498440', '4.7.35', 'shall'),
('fs-ham-0500030', '4.7.46', 'shall'),
('fs-ham-0500290', '4.7.49', 'shall'),
('fs-ham-0500490', '4.7.50', 'shall'),
('fs-ham-0500710', '4.7.51', 'shall'),
('fs-ham-0501080', '4.7.54', 'should'),
('fs-ham-0502330', '4.7.62', 'shall'),
('fs-ham-0502700', '4.7.65', 'should'),
('fs-ham-0504040', '4.7.73', 'shall'),
('fs-ham-0504300', '4.7.74', 'shall'),
('fs-ham-0504420', '4.7.75', 'shall'),
