('fs-ham-0003650', '1.1.29', 'will'),
('fs-ham-0007260', '1.1.52', 'would'),
('fs-ham-0008560', '1.1.62', 'will'),
('fs-ham-0022700', '1.1.154', 'will'),
('fs-ham-0027550', '1.1.186', 'will'),
('fs-ham-0035220', '1.2.40', 'will'),
('fs-ham-0036200', '1.2.45', 'wouldst'),
('fs-ham-0036990', '1.2.51', 'wouldst'),
('fs-ham-0038640', '1.2.62', 'will'),
('fs-ham-0039290', '1.2.65', 'will'),
('fs-ham-0044520', '1.2.99', 'will'),
('fs-ham-0050290', '1.2.133', 'would'),
('fs-ham-0052690', '1.2.147', 'would'),
('fs-ham-0054070', '1.2.155', 'Would'),
('fs-ham-0057400', '1.2.177', 'would'),
('fs-ham-0059380', '1.2.189', 'Would'),
('fs-ham-0065290', '1.2.229', 'would'),
('fs-ham-0068070', '1.2.252', 'would'),
('fs-ham-0068200', '1.2.253', 'would'),
('fs-ham-0069190', '1.2.262', 'will'),
('fs-ham-0069400', '1.2.264', 'will'),
('fs-ham-0070540', '1.2.272', 'will'),
('fs-ham-0071580', '1.2.278', 'Would'),
('fs-ham-0071870', '1.2.279', 'will'),
('fs-ham-0074850', '1.3.19', 'will'),
('fs-ham-0075050', '1.3.20', 'will'),
('fs-ham-0089570', '1.3.114', 'will'),
('fs-ham-0094000', '1.3.141', 'would'),
('fs-ham-0102110', '1.4.49', 'will'),
('fs-ham-0105210', '1.4.70', 'will'),
('fs-ham-0105320', '1.4.70', 'will'),
('fs-ham-0109910', '1.4.99', 'will'),
('fs-ham-0110170', '1.4.101', 'will'),
('fs-ham-0110510', '1.5.1', 'wilt'),
('fs-ham-0110780', '1.5.4', 'will'),
('fs-ham-0112980', '1.5.21', 'Would'),
('fs-ham-0115810', '1.5.41', 'Wouldst'),
('fs-ham-0117760', '1.5.53', 'will'),
('fs-ham-0118920', '1.5.60', 'will'),
('fs-ham-0119340', '1.5.63', 'Will'),
('fs-ham-0129430', '1.5.130', 'will'),
('fs-ham-0129850', '1.5.133', 'Would'),
('fs-ham-0131850', '1.5.147', 'will'),
('fs-ham-0133840', '1.5.159', 'will'),
('fs-ham-0134120', '1.5.161', 'will'),
('fs-ham-0139260', '1.5.197', 'would'),
('fs-ham-0140860', '1.5.208', 'willing'),
('fs-ham-0142180', '2.1.2', 'will'),
('fs-ham-0143920', '2.1.14', 'will'),
('fs-ham-0146560', '2.1.30', 'would'),
('fs-ham-0148110', '2.1.42', 'would'),
('fs-ham-0149030', '2.1.47', 'would'),
('fs-ham-0157160', '2.1.103', 'would'),
('fs-ham-0159030', '2.1.113', 'will'),
('fs-ham-0159420', '2.1.116', 'will'),
('fs-ham-0165840', '2.2.21', 'will'),
('fs-ham-0177460', '2.2.99', 'will'),
('fs-ham-0178890', '2.2.107', 'will'),
('fs-ham-0181470', '2.2.123', 'will'),
('fs-ham-0184040', '2.2.140', 'would'),
('fs-ham-0188110', '2.2.163', 'would'),
('fs-ham-0188780', '2.2.169', 'will'),
('fs-ham-0190610', '2.2.182', 'will'),
('fs-ham-0192050', '2.2.192', 'would'),
('fs-ham-0197310', '2.2.224', 'Will'),
('fs-ham-0198240', '2.2.230', 'will'),
('fs-ham-0198600', '2.2.232', 'will'),
('fs-ham-0198920', '2.2.234', 'will'),
('fs-ham-0206620', '2.2.287', 'will'),
('fs-ham-0211440', '2.2.316', 'will'),
('fs-ham-0220620', '2.2.369', 'Will'),
('fs-ham-0220840', '2.2.370', 'Will'),
('fs-ham-0223400', '2.2.387', 'would'),
('fs-ham-0227130', '2.2.410', 'will'),
('fs-ham-0231560', '2.2.443', 'will'),
('fs-ham-0242320', '2.2.506', 'will'),
('fs-ham-0246930', '2.2.536', 'would'),
('fs-ham-0247780', '2.2.543', 'Would'),
('fs-ham-0248740', '2.2.548', 'will'),
('fs-ham-0249680', '2.2.553', 'will'),
('fs-ham-0251910', '2.2.568', 'would'),
('fs-ham-0254890', '2.2.587', 'would'),
