('fs-lr-0001140', '1.1.6', 'can'),
('fs-lr-0001920', '1.1.12', 'cannot'),
('fs-lr-0002100', '1.1.13', 'could'),
('fs-lr-0002680', '1.1.17', 'cannot'),
('fs-lr-0009300', '1.1.60', 'can'),
('fs-lr-0009550', '1.1.63', 'can'),
('fs-lr-0014430', '1.1.94', 'can'),
('fs-lr-0015110', '1.1.100', 'cannot'),
('fs-lr-0027320', '1.1.189', 'can'),
('fs-lr-0028430', '1.1.195', 'can'),
('fs-lr-0043710', '1.1.301', 'Can'),
('fs-lr-0059970', '1.2.51', 'cannot'),
('fs-lr-0065760', '1.2.86', 'can'),
('fs-lr-0068010', '1.2.99', 'cannot'),
('fs-lr-0069830', '1.2.111', 'can'),
('fs-lr-0082970', '1.2.192', 'can'),
('fs-lr-0088170', '1.4.2', 'can'),
('fs-lr-0088700', '1.4.5', 'canst'),
('fs-lr-0090900', '1.4.17', 'cannot'),
('fs-lr-0092460', '1.4.32', 'canst'),
('fs-lr-0092530', '1.4.33', 'can'),
('fs-lr-0097890', '1.4.65', 'cannot'),
('fs-lr-0104180', '1.4.103', 'canst'),
('fs-lr-0108130', '1.4.134', 'Can'),
('fs-lr-0108400', '1.4.136', 'can'),
('fs-lr-0115430', '1.4.183', 'can'),
('fs-lr-0124030', '1.4.236', 'can'),
('fs-lr-0137840', '1.4.329', 'cannot'),
('fs-lr-0143490', '1.4.368', 'cannot'),
('fs-lr-0146430', '1.5.16', 'can'),
('fs-lr-0146510', '1.5.16', 'can'),
('fs-lr-0146580', '1.5.17', 'canst'),
('fs-lr-0146940', '1.5.19', 'canst'),
('fs-lr-0147500', '1.5.23', 'cannot'),
('fs-lr-0147740', '1.5.25', 'Canst'),
('fs-lr-0148050', '1.5.27', 'can'),
('fs-lr-0159430', '2.1.50', 'could'),
('fs-lr-0166890', '2.1.101', 'can'),
('fs-lr-0167280', '2.1.104', 'can'),
('fs-lr-0183530', '2.2.59', 'could'),
('fs-lr-0189840', '2.2.103', 'cannot'),
('fs-lr-0208970', '2.4.26', 'could'),
('fs-lr-0213560', '2.4.61', 'canst'),
('fs-lr-0216130', '2.4.77', 'can'),
('fs-lr-0227200', '2.4.152', 'can'),
('fs-lr-0228130', '2.4.158', 'cannot'),
('fs-lr-0240910', '2.4.245', 'could'),
('fs-lr-0243770', '2.4.262', 'canst'),
('fs-lr-0243920', '2.4.263', 'can'),
('fs-lr-0244010', '2.4.263', 'can'),
('fs-lr-0246920', '2.4.282', 'could'),
('fs-lr-0254700', '2.4.330', 'Cannot'),
('fs-lr-0275030', '3.2.50', 'cannot'),
('fs-lr-0278660', '3.2.77', 'can'),
('fs-lr-0298040', '3.4.66', 'could'),
('fs-lr-0298510', '3.4.69', 'Couldst'),
('fs-lr-0299500', '3.4.76', 'could'),
('fs-lr-0312470', '3.4.156', 'cannot'),
('fs-lr-0314950', '3.4.171', 'Canst'),
('fs-lr-0323910', '3.6.3', 'can'),
('fs-lr-0331560', '3.6.54', 'cannot'),
('fs-lr-0365520', '4.1.16', 'can'),
('fs-lr-0365790', '4.1.18', 'cannot'),
('fs-lr-0367280', '4.1.27', 'can'),
('fs-lr-0367990', '4.1.31', 'can'),
('fs-lr-0368550', '4.1.35', 'could'),
('fs-lr-0372500', '4.1.60', 'cannot'),
('fs-lr-0383210', '4.2.42', 'Cannot'),
('fs-lr-0384780', '4.2.55', 'Could'),
('fs-lr-0390490', '4.2.97', 'can'),
('fs-lr-0397780', '4.3.27', 'could'),
('fs-lr-0399660', '4.3.40', 'could'),
('fs-lr-0404520', '4.4.9', 'can'),
('fs-lr-0414310', '4.5.43', 'could'),
('fs-lr-0418430', '4.6.27', 'Cannot'),
('fs-lr-0421380', '4.6.47', 'could'),
('fs-lr-0425150', '4.6.73', 'Cannot'),
('fs-lr-0425770', '4.6.77', 'could'),
('fs-lr-0429300', '4.6.102', 'cannot'),
('fs-lr-0438700', '4.6.155', 'could'),
('fs-lr-0451130', '4.6.232', 'can'),
('fs-lr-0463190', '4.6.307', 'can'),
('fs-lr-0486640', '5.1.26', 'could'),
('fs-lr-0490260', '5.1.49', 'can'),
('fs-lr-0493140', '5.1.66', 'can'),
('fs-lr-0498970', '5.3.7', 'could'),
('fs-lr-0505040', '5.3.44', 'cannot'),
('fs-lr-0526840', '5.3.190', 'can'),
('fs-lr-0550100', '5.3.343', 'can'),
