('fs-lr-0004000', '1.1.24', 'must'),
('fs-lr-0004660', '1.1.30', 'must'),
('fs-lr-0016850', '1.1.111', 'must'),
('fs-lr-0036910', '1.1.252', 'Must'),
('fs-lr-0037320', '1.1.255', 'Must'),
('fs-lr-0041730', '1.1.285', 'must'),
('fs-lr-0049930', '1.1.342', 'must'),
('fs-lr-0051650', '1.1.355', 'must'),
('fs-lr-0054390', '1.2.17', 'must'),
('fs-lr-0086420', '1.3.20', 'must'),
('fs-lr-0104990', '1.4.107', 'must'),
('fs-lr-0105990', '1.4.115', 'must'),
('fs-lr-0106080', '1.4.115', 'must'),
('fs-lr-0132530', '1.4.295', 'must'),
('fs-lr-0154680', '2.1.18', 'must'),
('fs-lr-0156710', '2.1.30', 'must'),
('fs-lr-0164390', '2.1.85', 'must'),
('fs-lr-0165720', '2.1.95', 'must'),
('fs-lr-0172950', '2.1.142', 'must'),
('fs-lr-0190040', '2.2.104', 'must'),
('fs-lr-0197960', '2.2.158', 'must'),
('fs-lr-0200800', '2.2.175', 'must'),
('fs-lr-0242730', '2.4.256', 'must'),
('fs-lr-0244820', '2.4.269', 'Must'),
('fs-lr-0248190', '2.4.290', 'must'),
('fs-lr-0254990', '2.4.332', 'must'),
('fs-lr-0257290', '2.4.348', 'Must'),
('fs-lr-0279500', '3.2.83', 'Must'),
('fs-lr-0285000', '3.3.14', 'must'),
('fs-lr-0286170', '3.3.19', 'must'),
('fs-lr-0286920', '3.3.23', 'must'),
('fs-lr-0320660', '3.5.10', 'must'),
('fs-lr-0328020', '3.6.29', 'must'),
('fs-lr-0340240', '3.6.109', 'must'),
('fs-lr-0352250', '3.7.67', 'must'),
('fs-lr-0369960', '4.1.44', 'must'),
('fs-lr-0372760', '4.1.62', 'must'),
('fs-lr-0380240', '4.2.20', 'must'),
('fs-lr-0383560', '4.2.44', 'must'),
('fs-lr-0385550', '4.2.60', 'must'),
('fs-lr-0410070', '4.5.17', 'must'),
('fs-lr-0444970', '4.6.196', 'must'),
('fs-lr-0454750', '4.6.257', 'must'),
('fs-lr-0475240', '4.7.67', 'must'),
('fs-lr-0479810', '4.7.97', 'must'),
('fs-lr-0497280', '5.2.10', 'must'),
('fs-lr-0530220', '5.3.211', 'must'),
('fs-lr-0557280', '5.3.391', 'must'),
('fs-lr-0557510', '5.3.392', 'must'),
