('fs-mac-0007480', '1.2.40', 'must'),
('fs-mac-0042840', '1.4.34', 'must'),
('fs-mac-0044340', '1.4.45', 'must'),
('fs-mac-0045830', '1.4.56', 'must'),
('fs-mac-0051980', '1.5.25', 'must'),
('fs-mac-0059430', '1.5.79', 'Must'),
('fs-mac-0080690', '1.7.95', 'must'),
('fs-mac-0098630', '2.2.45', 'must'),
('fs-mac-0101430', '2.2.63', 'must'),
('fs-mac-0102950', '2.2.73', 'must'),
('fs-mac-0144210', '3.1.29', 'must'),
('fs-mac-0160490', '3.1.136', 'must'),
('fs-mac-0162440', '3.1.150', 'must'),
('fs-mac-0163400', '3.1.156', 'must'),
('fs-mac-0164290', '3.1.162', 'must'),
('fs-mac-0169980', '3.2.37', 'Must'),
('fs-mac-0170420', '3.2.40', 'must'),
('fs-mac-0191820', '3.4.85', 'must'),
('fs-mac-0204870', '3.4.172', 'must'),
('fs-mac-0208960', '3.5.22', 'must'),
('fs-mac-0212610', '3.6.8', 'must'),
('fs-mac-0245350', '4.2.2', 'must'),
('fs-mac-0254090', '4.2.57', 'must'),
('fs-mac-0254180', '4.2.58', 'must'),
('fs-mac-0254460', '4.2.60', 'must'),
('fs-mac-0264330', '4.3.30', 'must'),
('fs-mac-0295050', '4.3.250', 'must'),
('fs-mac-0296410', '4.3.261', 'must'),
('fs-mac-0322910', '5.3.30', 'must'),
('fs-mac-0326160', '5.3.57', 'Must'),
('fs-mac-0332830', '5.4.26', 'must'),
('fs-mac-0344720', '5.7.2', 'must'),
('fs-mac-0352390', '5.8.15', 'must'),
('fs-mac-0356920', '5.8.41', 'must'),
('fs-mac-0358550', '5.8.51', 'Must'),
