('fs-mac-0000250', '1.1.1', 'shall'),
('fs-mac-0009260', '1.2.52', 'should'),
('fs-mac-0011800', '1.2.73', 'shall'),
('fs-mac-0015000', '1.3.20', 'shall'),
('fs-mac-0015210', '1.3.22', 'shall'),
('fs-mac-0015420', '1.3.24', 'Shall'),
('fs-mac-0015720', '1.3.26', 'shall'),
('fs-mac-0018830', '1.3.47', 'should'),
('fs-mac-0019890', '1.3.53', 'shalt'),
('fs-mac-0022330', '1.3.70', 'shalt'),
('fs-mac-0025490', '1.3.89', 'shall'),
('fs-mac-0025580', '1.3.90', 'shall'),
('fs-mac-0026720', '1.3.97', 'should'),
('fs-mac-0031160', '1.3.128', 'shall'),
('fs-mac-0042140', '1.4.29', 'should'),
('fs-mac-0044590', '1.4.47', 'shall'),
('fs-mac-0049640', '1.5.10', 'shalt'),
('fs-mac-0050590', '1.5.15', 'shalt'),
('fs-mac-0051370', '1.5.20', 'should'),
('fs-mac-0052320', '1.5.28', 'should'),
('fs-mac-0058390', '1.5.72', 'Shall'),
('fs-mac-0059560', '1.5.79', 'shall'),
('fs-mac-0059750', '1.5.81', 'shall'),
('fs-mac-0062980', '1.6.16', 'shall'),
('fs-mac-0066070', '1.6.38', 'shall'),
('fs-mac-0069100', '1.7.15', 'should'),
('fs-mac-0070420', '1.7.24', 'Shall'),
('fs-mac-0070620', '1.7.25', 'shall'),
('fs-mac-0077040', '1.7.68', 'should'),
('fs-mac-0077530', '1.7.72', 'shall'),
('fs-mac-0078050', '1.7.76', 'Shall'),
('fs-mac-0078890', '1.7.81', 'shall'),
('fs-mac-0079210', '1.7.84', 'should'),
('fs-mac-0080030', '1.7.90', 'shall'),
('fs-mac-0084360', '2.1.23', 'should'),
('fs-mac-0085550', '2.1.34', 'shall'),
('fs-mac-0085720', '2.1.35', 'shall'),
('fs-mac-0086200', '2.1.39', 'shall'),
('fs-mac-0100330', '2.2.57', 'Shall'),
('fs-mac-0100440', '2.2.57', 'shall'),
('fs-mac-0106660', '2.3.2', 'should'),
('fs-mac-0127930', '2.3.143', 'should'),
('fs-mac-0131160', '2.3.164', 'Shall'),
('fs-mac-0134260', '2.4.12', 'should'),
('fs-mac-0140370', '3.1.4', 'should'),
('fs-mac-0140550', '3.1.5', 'should'),
('fs-mac-0143190', '3.1.23', 'should'),
('fs-mac-0145280', '3.1.37', 'shall'),
('fs-mac-0161510', '3.1.143', 'shall'),
('fs-mac-0166250', '3.2.12', 'should'),
('fs-mac-0166500', '3.2.14', 'Should'),
('fs-mac-0169410', '3.2.33', 'shall'),
('fs-mac-0171760', '3.2.48', 'shall'),
('fs-mac-0189130', '3.4.68', 'shall'),
('fs-mac-0191990', '3.4.87', 'Shall'),
('fs-mac-0197950', '3.4.125', 'Shall'),
('fs-mac-0203700', '3.4.166', 'shall'),
('fs-mac-0204150', '3.4.168', 'shall'),
('fs-mac-0204400', '3.4.169', 'should'),
('fs-mac-0209580', '3.5.27', 'Shall'),
('fs-mac-0209800', '3.5.29', 'Shall'),
('fs-mac-0209960', '3.5.30', 'shall'),
('fs-mac-0214670', '3.6.20', 'shall'),
('fs-mac-0214740', '3.6.20', 'should'),
('fs-mac-0214910', '3.6.22', 'should'),
('fs-mac-0218470', '3.6.47', 'should'),
('fs-mac-0224900', '4.1.40', 'shall'),
('fs-mac-0231610', '4.1.92', 'Shall'),
('fs-mac-0232200', '4.1.95', 'shalt'),
('fs-mac-0233740', '4.1.105', 'shall'),
('fs-mac-0233960', '4.1.107', 'Shall'),
('fs-mac-0234770', '4.1.113', 'Shall'),
('fs-mac-0235410', '4.1.116', 'shall'),
('fs-mac-0243250', '4.1.167', 'shall'),
('fs-mac-0249180', '4.2.27', 'Shall'),
('fs-mac-0250100', '4.2.32', 'should'),
('fs-mac-0251660', '4.2.42', 'should'),
('fs-mac-0255830', '4.2.68', 'should'),
('fs-mac-0257770', '4.2.81', 'should'),
('fs-mac-0261870', '4.3.12', 'shall'),
('fs-mac-0263690', '4.3.24', 'shall'),
('fs-mac-0265540', '4.3.38', 'shall'),
('fs-mac-0267980', '4.3.55', 'shall'),
('fs-mac-0268290', '4.3.57', 'Shall'),
('fs-mac-0268680', '4.3.59', 'shall'),
('fs-mac-0268750', '4.3.60', 'should'),
('fs-mac-0269200', '4.3.63', 'shall'),
('fs-mac-0273340', '4.3.94', 'should'),
('fs-mac-0273950', '4.3.97', 'should'),
('fs-mac-0276140', '4.3.113', 'should'),
('fs-mac-0277240', '4.3.123', 'shalt'),
('fs-mac-0291980', '4.3.226', 'should'),
('fs-mac-0293230', '4.3.237', 'shall'),
('fs-mac-0296310', '4.3.260', 'shall'),
('fs-mac-0302860', '5.1.18', 'should'),
('fs-mac-0307970', '5.1.48', 'should'),
('fs-mac-0308110', '5.1.50', 'should'),
('fs-mac-0314210', '5.2.7', 'Shall'),
('fs-mac-0316930', '5.2.26', 'shall'),
('fs-mac-0319640', '5.3.7', 'Shall'),
('fs-mac-0320160', '5.3.11', 'Shall'),
('fs-mac-0322640', '5.3.28', 'should'),
('fs-mac-0327680', '5.3.66', 'should'),
('fs-mac-0329040', '5.3.76', 'should'),
('fs-mac-0330470', '5.4.7', 'shall'),
('fs-mac-0330800', '5.4.10', 'shall'),
('fs-mac-0332470', '5.4.24', 'shall'),
('fs-mac-0334120', '5.5.5', 'should'),
('fs-mac-0336290', '5.5.20', 'should'),
('fs-mac-0338410', '5.5.34', 'should'),
('fs-mac-0339980', '5.5.45', 'shall'),
('fs-mac-0342950', '5.6.3', 'Shall'),
('fs-mac-0343280', '5.6.5', 'Shall'),
('fs-mac-0348460', '5.7.25', 'shouldst'),
('fs-mac-0350260', '5.8.1', 'should'),
('fs-mac-0361490', '5.8.72', 'shall'),
