('fs-mac-0000770', '1.1.5', 'will'),
('fs-mac-0011250', '1.2.70', 'would'),
('fs-mac-0021420', '1.3.62', 'will'),
('fs-mac-0021500', '1.3.62', 'will'),
('fs-mac-0024920', '1.3.85', 'Would'),
('fs-mac-0035120', '1.3.157', 'will'),
('fs-mac-0040740', '1.4.21', 'Would'),
('fs-mac-0042520', '1.4.32', 'will'),
('fs-mac-0043970', '1.4.43', 'will'),
('fs-mac-0051150', '1.5.18', 'wouldst'),
('fs-mac-0051480', '1.5.20', 'wouldst'),
('fs-mac-0051530', '1.5.22', 'wouldst'),
('fs-mac-0051600', '1.5.22', 'wouldst'),
('fs-mac-0051710', '1.5.23', 'wouldst'),
('fs-mac-0051800', '1.5.23', '’dst'),
('fs-mac-0053760', '1.5.38', 'Would'),
('fs-mac-0054460', '1.5.42', 'would'),
('fs-mac-0060070', '1.5.83', 'will'),
('fs-mac-0069750', '1.7.19', 'Will'),
('fs-mac-0071810', '1.7.34', 'will'),
('fs-mac-0072310', '1.7.37', 'would'),
('fs-mac-0073680', '1.7.45', 'Wouldst'),
('fs-mac-0074180', '1.7.48', 'would'),
('fs-mac-0075390', '1.7.57', 'would'),
('fs-mac-0075730', '1.7.59', 'would'),
('fs-mac-0076370', '1.7.64', 'would'),
('fs-mac-0077750', '1.7.74', 'Will'),
('fs-mac-0079310', '1.7.85', 'Will'),
('fs-mac-0082430', '2.1.9', 'would'),
('fs-mac-0084200', '2.1.22', 'will'),
('fs-mac-0085120', '2.1.30', 'would'),
('fs-mac-0085330', '2.1.32', 'would'),
('fs-mac-0098820', '2.2.46', 'will'),
('fs-mac-0103680', '2.2.78', 'Will'),
('fs-mac-0104010', '2.2.79', 'will'),
('fs-mac-0106150', '2.2.94', 'would'),
('fs-mac-0121370', '2.3.99', 'Would'),
('fs-mac-0130520', '2.3.160', 'will'),
('fs-mac-0135600', '2.4.21', 'would'),
('fs-mac-0137590', '2.4.40', 'will'),
('fs-mac-0137840', '2.4.42', 'will'),
('fs-mac-0138520', '2.4.49', 'Will'),
('fs-mac-0138790', '2.4.51', 'will'),
('fs-mac-0139480', '2.4.56', 'would'),
('fs-mac-0143890', '3.1.27', 'will'),
('fs-mac-0144630', '3.1.32', 'will'),
('fs-mac-0146780', '3.1.46', 'will'),
('fs-mac-0148240', '3.1.55', 'would'),
('fs-mac-0157550', '3.1.116', 'will'),
('fs-mac-0159130', '3.1.127', 'would'),
('fs-mac-0160380', '3.1.136', 'will'),
('fs-mac-0161990', '3.1.148', 'will'),
('fs-mac-0164990', '3.2.3', 'would'),
('fs-mac-0165200', '3.2.5', 'will'),
('fs-mac-0167420', '3.2.20', 'will'),
('fs-mac-0177140', '3.3.23', 'will'),
('fs-mac-0179500', '3.4.4', 'will'),
('fs-mac-0179870', '3.4.7', 'will'),
('fs-mac-0184200', '3.4.33', 'will'),
('fs-mac-0188930', '3.4.67', 'will'),
('fs-mac-0190530', '3.4.77', 'would'),
('fs-mac-0193440', '3.4.95', 'would'),
('fs-mac-0195600', '3.4.110', 'Would'),
('fs-mac-0201490', '3.4.151', 'will'),
('fs-mac-0201630', '3.4.151', 'will'),
('fs-mac-0203110', '3.4.162', 'will'),
('fs-mac-0203470', '3.4.164', 'will'),
('fs-mac-0203570', '3.4.165', 'will'),
('fs-mac-0204790', '3.4.171', 'will'),
('fs-mac-0208260', '3.5.17', 'Will'),
('fs-mac-0230580', '4.1.86', 'will'),
('fs-mac-0234110', '4.1.108', 'will'),
('fs-mac-0235700', '4.1.119', 'will'),
('fs-mac-0238050', '4.1.132', 'will'),
('fs-mac-0241210', '4.1.152', 'will'),
('fs-mac-0243770', '4.1.171', 'will'),
('fs-mac-0246930', '4.2.12', 'will'),
('fs-mac-0249440', '4.2.28', 'will'),
('fs-mac-0250190', '4.2.33', 'would'),
('fs-mac-0250650', '4.2.36', 'will'),
('fs-mac-0250760', '4.2.36', 'will'),
