('fs-oth-0003880', '1.1.26', 'can'),
('fs-oth-0006920', '1.1.46', 'cannot'),
('fs-oth-0007060', '1.1.47', 'Cannot'),
('fs-oth-0010980', '1.1.73', 'can'),
('fs-oth-0025060', '1.1.166', 'Cannot'),
('fs-oth-0030600', '1.1.201', 'can'),
('fs-oth-0048830', '1.2.121', 'Cannot'),
('fs-oth-0052670', '1.3.22', 'cannot'),
('fs-oth-0060310', '1.3.77', 'could'),
('fs-oth-0062060', '1.3.89', 'can'),
('fs-oth-0064150', '1.3.101', 'can'),
('fs-oth-0066480', '1.3.118', 'could'),
('fs-oth-0073870', '1.3.172', 'could'),
('fs-oth-0083780', '1.3.236', 'cannot'),
('fs-oth-0084680', '1.3.242', 'can'),
('fs-oth-0100600', '1.3.354', 'could'),
('fs-oth-0104670', '1.3.376', 'cannot'),
('fs-oth-0105650', '1.3.381', 'could'),
('fs-oth-0106290', '1.3.385', 'cannot'),
('fs-oth-0108690', '1.3.397', 'canst'),
('fs-oth-0111180', '1.3.411', 'canst'),
('fs-oth-0117180', '2.1.1', 'can'),
('fs-oth-0117500', '2.1.3', 'cannot'),
('fs-oth-0118350', '2.1.9', 'Can'),
('fs-oth-0131680', '2.1.98', 'can'),
('fs-oth-0141390', '2.1.159', 'couldst'),
('fs-oth-0143310', '2.1.171', 'could'),
('fs-oth-0150260', '2.1.214', 'cannot'),
('fs-oth-0159330', '2.1.265', 'can'),
('fs-oth-0160290', '2.1.271', 'cannot'),
('fs-oth-0165860', '2.1.303', 'can'),
('fs-oth-0168490', '2.1.320', 'can'),
('fs-oth-0169150', '2.1.324', 'cannot'),
('fs-oth-0178450', '2.3.35', 'could'),
('fs-oth-0180430', '2.3.49', 'can'),
('fs-oth-0185890', '2.3.88', 'can'),
('fs-oth-0190660', '2.3.119', 'can'),
('fs-oth-0202380', '2.3.196', 'cannot'),
('fs-oth-0203210', '2.3.201', 'cannot'),
('fs-oth-0204540', '2.3.210', 'can'),
('fs-oth-0211620', '2.3.255', 'cannot'),
('fs-oth-0212510', '2.3.261', 'could'),
('fs-oth-0221610', '2.3.320', 'could'),
('fs-oth-0254690', '3.3.41', 'cannot'),
('fs-oth-0260830', '3.3.82', 'could'),
('fs-oth-0269640', '3.3.143', 'cannot'),
('fs-oth-0276130', '3.3.192', 'cannot'),
('fs-oth-0284310', '3.3.243', 'could'),
('fs-oth-0294680', '3.3.310', 'can'),
('fs-oth-0312370', '3.3.425', 'canst'),
('fs-oth-0319870', '3.3.472', 'could'),
('fs-oth-0332110', '3.4.10', 'Can'),
('fs-oth-0332840', '3.4.14', 'Can'),
('fs-oth-0338790', '3.4.55', 'cannot'),
('fs-oth-0340350', '3.4.67', 'could'),
('fs-oth-0342400', '3.4.79', 'could'),
('fs-oth-0345330', '3.4.100', 'can'),
('fs-oth-0350330', '3.4.136', 'Can'),
('fs-oth-0352290', '3.4.149', 'can'),
('fs-oth-0352950', '3.4.154', 'Can'),
('fs-oth-0364380', '3.4.229', 'can'),
('fs-oth-0369480', '4.1.34', 'cannot'),
('fs-oth-0381790', '4.1.117', 'cannot'),
('fs-oth-0405490', '4.1.276', 'could'),
('fs-oth-0406960', '4.1.287', 'can'),
('fs-oth-0407250', '4.1.288', 'can'),
('fs-oth-0409370', '4.1.301', 'could'),
('fs-oth-0409640', '4.1.303', 'Could'),
('fs-oth-0415860', '4.2.23', 'cannot'),
('fs-oth-0422300', '4.2.66', 'could'),
('fs-oth-0430380', '4.2.120', 'cannot'),
('fs-oth-0431940', '4.2.129', 'cannot'),
('fs-oth-0433120', '4.2.136', 'cannot'),
('fs-oth-0433770', '4.2.142', 'Could'),
('fs-oth-0441050', '4.2.190', 'cannot'),
('fs-oth-0441590', '4.2.193', 'could'),
('fs-oth-0446320', '4.2.224', 'cannot'),
('fs-oth-0451820', '4.2.260', 'can'),
('fs-oth-0485180', '5.1.67', 'cannot'),
('fs-oth-0500070', '5.2.9', 'can'),
('fs-oth-0500680', '5.2.13', 'can'),
('fs-oth-0500900', '5.2.15', 'cannot'),
('fs-oth-0508350', '5.2.69', 'Cannot'),
('fs-oth-0542590', '5.2.296', 'canst'),
('fs-oth-0546060', '5.2.316', 'can'),
('fs-oth-0550370', '5.2.337', 'cannot'),
('fs-oth-0558160', '5.2.393', 'can'),
