('fs-oth-0012070', '1.1.80', 'may'),
('fs-oth-0024940', '1.1.165', 'may'),
('fs-oth-0029570', '1.1.195', 'May'),
('fs-oth-0030410', '1.1.200', 'may'),
('fs-oth-0031120', '1.1.204', 'may'),
('fs-oth-0035560', '1.2.26', 'May'),
('fs-oth-0038490', '1.2.46', 'may'),
('fs-oth-0047290', '1.2.110', 'may'),
('fs-oth-0049090', '1.2.122', 'may'),
('fs-oth-0053510', '1.3.28', 'may'),
('fs-oth-0080700', '1.3.217', 'may'),
('fs-oth-0082930', '1.3.230', 'may'),
('fs-oth-0090510', '1.3.285', 'May'),
('fs-oth-0097490', '1.3.334', 'may'),
('fs-oth-0129920', '2.1.87', 'may'),
('fs-oth-0142590', '2.1.166', 'may'),
('fs-oth-0144790', '2.1.180', 'may'),
('fs-oth-0148570', '2.1.202', 'May'),
('fs-oth-0164270', '2.1.295', 'may'),
('fs-oth-0164440', '2.1.295', 'may'),
('fs-oth-0182440', '2.3.64', 'may'),
('fs-oth-0210190', '2.3.247', 'might'),
('fs-oth-0210920', '2.3.251', 'might'),
('fs-oth-0224200', '2.3.332', 'may'),
('fs-oth-0224660', '2.3.334', 'may'),
('fs-oth-0229720', '2.3.366', 'may'),
('fs-oth-0236630', '2.3.408', 'may'),
('fs-oth-0239640', '3.1.16', 'may'),
('fs-oth-0243760', '3.1.42', 'May'),
('fs-oth-0245310', '3.1.52', 'might'),
('fs-oth-0246160', '3.1.58', 'may'),
('fs-oth-0250690', '3.3.16', 'may'),
('fs-oth-0270320', '3.3.148', 'might'),
('fs-oth-0288450', '3.3.272', 'may'),
('fs-oth-0288980', '3.3.275', 'may'),
('fs-oth-0289160', '3.3.277', 'May'),
('fs-oth-0290570', '3.3.285', 'might'),
('fs-oth-0304320', '3.3.372', 'may'),
('fs-oth-0316470', '3.3.450', 'may'),
('fs-oth-0318830', '3.3.465', 'might'),
('fs-oth-0322480', '3.3.488', 'may'),
('fs-oth-0323030', '3.3.492', 'may'),
('fs-oth-0326420', '3.3.513', 'may'),
('fs-oth-0338130', '3.4.51', 'may'),
('fs-oth-0349430', '3.4.129', 'may'),
('fs-oth-0366970', '4.1.17', 'may'),
('fs-oth-0367310', '4.1.19', 'May'),
('fs-oth-0376160', '4.1.83', 'May'),
('fs-oth-0391840', '4.1.179', 'may'),
('fs-oth-0392680', '4.1.186', 'may'),
('fs-oth-0395690', '4.1.205', 'might'),
('fs-oth-0403700', '4.1.262', 'May'),
('fs-oth-0408660', '4.1.296', 'may'),
('fs-oth-0410160', '4.1.307', 'may'),
('fs-oth-0410290', '4.1.308', 'might'),
('fs-oth-0410400', '4.1.308', 'might'),
('fs-oth-0411960', '4.1.321', 'may'),
('fs-oth-0431430', '4.2.126', 'might'),
('fs-oth-0432280', '4.2.131', 'might'),
('fs-oth-0440730', '4.2.187', 'may'),
('fs-oth-0440840', '4.2.189', 'may'),
('fs-oth-0441390', '4.2.192', 'might'),
('fs-oth-0453640', '4.2.269', 'may'),
('fs-oth-0466590', '4.3.76', 'might'),
('fs-oth-0469640', '4.3.92', 'might'),
('fs-oth-0475220', '5.1.7', 'may'),
('fs-oth-0477880', '5.1.22', 'May'),
('fs-oth-0482400', '5.1.48', 'may'),
('fs-oth-0486600', '5.1.78', 'may'),
('fs-oth-0488540', '5.1.92', 'may'),
('fs-oth-0503620', '5.2.34', 'may'),
('fs-oth-0509380', '5.2.76', 'might'),
('fs-oth-0516870', '5.2.127', 'may'),
('fs-oth-0525660', '5.2.190', 'may'),
