('fs-oth-0004740', '1.1.31', 'must'),
('fs-oth-0005050', '1.1.34', 'must'),
('fs-oth-0016890', '1.1.114', 'must'),
('fs-oth-0024290', '1.1.161', 'must'),
('fs-oth-0026230', '1.1.173', 'must'),
('fs-oth-0036830', '1.2.35', 'must'),
('fs-oth-0054170', '1.3.33', 'must'),
('fs-oth-0057640', '1.3.56', 'must'),
('fs-oth-0066640', '1.3.119', 'must'),
('fs-oth-0085320', '1.3.246', 'must'),
('fs-oth-0087230', '1.3.259', 'must'),
('fs-oth-0094760', '1.3.312', 'must'),
('fs-oth-0094870', '1.3.313', 'must'),
('fs-oth-0097950', '1.3.337', 'must'),
('fs-oth-0098790', '1.3.342', 'must'),
('fs-oth-0107790', '1.3.393', 'must'),
('fs-oth-0116710', '1.3.447', 'Must'),
('fs-oth-0154620', '2.1.239', 'must'),
('fs-oth-0155910', '2.1.246', 'must'),
('fs-oth-0166230', '2.1.306', 'must'),
('fs-oth-0175230', '2.3.14', 'must'),
('fs-oth-0188390', '2.3.107', 'must'),
('fs-oth-0188530', '2.3.108', 'must'),
('fs-oth-0191020', '2.3.122', 'must'),
('fs-oth-0227830', '2.3.354', 'must'),
('fs-oth-0236140', '2.3.405', 'must'),
('fs-oth-0259170', '3.3.73', 'must'),
('fs-oth-0294450', '3.3.309', 'Must'),
('fs-oth-0348670', '3.4.125', 'must'),
('fs-oth-0350550', '3.4.137', 'must'),
('fs-oth-0352170', '3.4.148', 'must'),
('fs-oth-0355410', '3.4.169', 'must'),
('fs-oth-0364730', '3.4.231', 'must'),
('fs-oth-0369550', '4.1.35', 'must'),
('fs-oth-0373710', '4.1.67', 'must'),
('fs-oth-0382280', '4.1.120', 'must'),
('fs-oth-0388990', '4.1.164', 'must'),
('fs-oth-0390220', '4.1.171', 'must'),
('fs-oth-0390870', '4.1.174', 'must'),
('fs-oth-0392280', '4.1.183', 'must'),
('fs-oth-0394780', '4.1.201', 'must'),
('fs-oth-0422720', '4.2.68', 'must'),
('fs-oth-0458080', '4.3.18', 'must'),
('fs-oth-0463680', '4.3.55', 'must'),
('fs-oth-0477410', '5.1.19', 'must'),
('fs-oth-0478160', '5.1.23', 'must'),
('fs-oth-0491180', '5.1.110', 'must'),
('fs-oth-0497440', '5.1.147', 'must'),
('fs-oth-0499540', '5.2.6', 'must'),
('fs-oth-0501060', '5.2.16', 'must'),
('fs-oth-0502280', '5.2.22', 'must'),
('fs-oth-0521120', '5.2.158', 'must'),
('fs-oth-0528460', '5.2.206', 'must'),
('fs-oth-0544130', '5.2.304', 'must'),
('fs-oth-0544540', '5.2.306', 'must'),
('fs-oth-0557540', '5.2.389', 'must'),
('fs-oth-0559930', '5.2.403', 'must'),
