('fs-rom-0001640', 'PRO.11', 'could'),
('fs-rom-0026450', '1.1.147', 'can'),
('fs-rom-0027630', '1.1.155', 'can'),
('fs-rom-0027920', '1.1.157', 'Could'),
('fs-rom-0041630', '1.1.241', 'cannot'),
('fs-rom-0042360', '1.1.246', 'canst'),
('fs-rom-0050310', '1.2.44', 'can'),
('fs-rom-0053000', '1.2.61', 'can'),
('fs-rom-0053430', '1.2.65', 'can'),
('fs-rom-0053980', '1.2.68', 'can'),
('fs-rom-0057930', '1.2.97', 'could'),
('fs-rom-0062000', '1.3.12', 'can'),
('fs-rom-0066630', '1.3.39', 'could'),
('fs-rom-0066800', '1.3.41', 'could'),
('fs-rom-0069370', '1.3.55', 'cannot'),
('fs-rom-0074580', '1.3.85', 'Can'),
('fs-rom-0077320', '1.3.102', 'Can'),
('fs-rom-0082180', '1.4.16', 'cannot'),
('fs-rom-0082890', '1.4.21', 'cannot'),
('fs-rom-0100850', '1.5.15', 'cannot'),
('fs-rom-0102870', '1.5.26', 'could'),
('fs-rom-0120030', '1.5.129', 'can'),
('fs-rom-0127870', '2.1.1', 'Can'),
('fs-rom-0131850', '2.1.26', 'cannot'),
('fs-rom-0133520', '2.1.36', 'cannot'),
('fs-rom-0146920', '2.2.72', 'cannot'),
('fs-rom-0147060', '2.2.73', 'can'),
('fs-rom-0156180', '2.2.127', 'can'),
('fs-rom-0157270', '2.2.133', 'canst'),
('fs-rom-0183480', '2.3.95', 'could'),
('fs-rom-0186110', '2.4.11', 'can'),
('fs-rom-0190270', '2.4.36', 'cannot'),
('fs-rom-0192860', '2.4.50', 'Can'),
('fs-rom-0203030', '2.4.120', 'can'),
('fs-rom-0203310', '2.4.122', 'can'),
('fs-rom-0208080', '2.4.154', 'cannot'),
('fs-rom-0220290', '2.5.3', 'cannot'),
('fs-rom-0225020', '2.5.31', 'Can'),
('fs-rom-0234930', '2.6.3', 'can'),
('fs-rom-0234970', '2.6.4', 'cannot'),
('fs-rom-0239560', '2.6.32', 'can'),
('fs-rom-0239830', '2.6.34', 'cannot'),
('fs-rom-0248800', '3.1.44', 'Could'),
('fs-rom-0251790', '3.1.61', 'can'),
('fs-rom-0253250', '3.1.70', 'canst'),
('fs-rom-0258010', '3.1.99', 'cannot'),
('fs-rom-0266630', '3.1.150', 'can'),
('fs-rom-0268930', '3.1.165', 'Could'),
('fs-rom-0271460', '3.1.182', 'Could'),
('fs-rom-0272610', '3.1.188', 'could'),
('fs-rom-0276990', '3.2.8', 'can'),
('fs-rom-0282760', '3.2.45', 'Can'),
('fs-rom-0282890', '3.2.46', 'can'),
('fs-rom-0282950', '3.2.47', 'cannot'),
('fs-rom-0296890', '3.2.137', 'can'),
('fs-rom-0309450', '3.3.61', 'can'),
('fs-rom-0310530', '3.3.67', 'canst'),
('fs-rom-0325630', '3.3.159', 'canst'),
('fs-rom-0325850', '3.3.160', 'can'),
('fs-rom-0327150', '3.3.169', 'could'),
('fs-rom-0349780', '3.5.73', 'couldst'),
('fs-rom-0349830', '3.5.73', 'couldst'),
('fs-rom-0350920', '3.5.81', 'cannot'),
('fs-rom-0354350', '3.5.101', 'could'),
('fs-rom-0355050', '3.5.105', 'cannot'),
('fs-rom-0363450', '3.5.152', 'can'),
('fs-rom-0370550', '3.5.197', 'cannot'),
('fs-rom-0390510', '4.1.53', 'canst'),
('fs-rom-0392500', '4.1.66', 'Could'),
('fs-rom-0404030', '4.2.4', 'can'),
('fs-rom-0404140', '4.2.5', 'canst'),
('fs-rom-0404410', '4.2.6', 'cannot'),
('fs-rom-0404570', '4.2.7', 'cannot'),
('fs-rom-0440840', '4.5.75', 'could'),
('fs-rom-0455640', '5.1.17', 'can'),
('fs-rom-0455910', '5.1.18', 'can'),
('fs-rom-0470230', '5.2.14', 'could'),
('fs-rom-0482790', '5.3.55', 'Can'),
('fs-rom-0490520', '5.3.98', 'can'),
('fs-rom-0500190', '5.3.158', 'can'),
('fs-rom-0505450', '5.3.187', 'cannot'),
('fs-rom-0512000', '5.3.225', 'can'),
('fs-rom-0518370', '5.3.265', 'could'),
('fs-rom-0520820', '5.3.280', 'can'),
('fs-rom-0525560', '5.3.308', 'Can'),
('fs-rom-0525670', '5.3.309', 'can'),
