('fs-rom-0023860', '1.1.129', 'might'),
('fs-rom-0026080', '1.1.145', 'may'),
('fs-rom-0042170', '1.1.245', 'may'),
('fs-rom-0044720', '1.2.11', 'may'),
('fs-rom-0048280', '1.2.33', 'May'),
('fs-rom-0071400', '1.3.66', 'might'),
('fs-rom-0088090', '1.4.52', 'may'),
('fs-rom-0113900', '1.5.95', 'may'),
('fs-rom-0126860', '2.CHO.9', 'may'),
('fs-rom-0139720', '2.2.26', 'might'),
('fs-rom-0151370', '2.2.97', 'mayst'),
('fs-rom-0152630', '2.2.104', 'mayst'),
('fs-rom-0156510', '2.2.129', 'May'),
('fs-rom-0163490', '2.2.171', 'may'),
('fs-rom-0181840', '2.3.85', 'may'),
('fs-rom-0183930', '2.3.98', 'may'),
('fs-rom-0186150', '2.4.11', 'may'),
('fs-rom-0193290', '2.4.52', 'may'),
('fs-rom-0194980', '2.4.65', 'may'),
('fs-rom-0203180', '2.4.121', 'may'),
('fs-rom-0216160', '2.4.200', 'may'),
('fs-rom-0235660', '2.6.8', 'may'),
('fs-rom-0237240', '2.6.18', 'may'),
('fs-rom-0251570', '3.1.60', 'may'),
('fs-rom-0276720', '3.2.6', 'may'),
('fs-rom-0280860', '3.2.33', 'may'),
('fs-rom-0291520', '3.2.102', 'may'),
('fs-rom-0295910', '3.2.131', 'might'),
('fs-rom-0305410', '3.3.34', 'may'),
('fs-rom-0305530', '3.3.35', 'may'),
('fs-rom-0305870', '3.3.37', 'may'),
('fs-rom-0306530', '3.3.42', 'may'),
('fs-rom-0306660', '3.3.43', 'may'),
('fs-rom-0311200', '3.3.71', 'mightst'),
('fs-rom-0311290', '3.3.71', 'mightst'),
('fs-rom-0318680', '3.3.116', 'may'),
('fs-rom-0334990', '3.4.28', 'may'),
('fs-rom-0336850', '3.4.38', 'May'),
('fs-rom-0345660', '3.5.50', 'may'),
('fs-rom-0352700', '3.5.91', 'might'),
('fs-rom-0360710', '3.5.137', 'may'),
('fs-rom-0368310', '3.5.182', 'May'),
('fs-rom-0383040', '4.1.14', 'May'),
('fs-rom-0384060', '4.1.19', 'may'),
('fs-rom-0384180', '4.1.19', 'may'),
('fs-rom-0384290', '4.1.20', 'may'),
('fs-rom-0387410', '4.1.37', 'may'),
('fs-rom-0389800', '4.1.49', 'may'),
('fs-rom-0390350', '4.1.52', 'may'),
('fs-rom-0405280', '4.2.13', 'may'),
('fs-rom-0407510', '4.2.27', 'might'),
('fs-rom-0445390', '4.5.102', 'may'),
('fs-rom-0446120', '4.5.105', 'may'),
('fs-rom-0453010', '5.1.1', 'may'),
('fs-rom-0463420', '5.1.66', 'may'),
('fs-rom-0463560', '5.1.67', 'may'),
('fs-rom-0466980', '5.1.86', 'mayst'),
('fs-rom-0471190', '5.2.20', 'May'),
('fs-rom-0489190', '5.3.90', 'may'),
